	Kingdom	Kingdom confidence	Phylum	Phylum confidence	Class	Class confidence	Order	Order confidence	Family	Family confidence	Genus	Genus confidence
Otu60	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Clostridiales_Incertae Sedis XIII	90	Ihubacter	90
Otu67	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Lachnospiraceae	98	Ruminococcus2	41
Otu107	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Harryflintia	47
Otu84	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Mediterraneibacter	28
Otu145	Bacteria	100	Firmicutes	100	Bacilli	100	Bacillales	100	Planococcaceae	98	Sporosarcina	98
Otu39	Bacteria	100	Firmicutes	99	Clostridia	98	Clostridiales	98	Lachnospiraceae	39	Robinsoniella	22
Otu98	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	22
Otu87	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Intestinimonas	51
Otu92	Bacteria	100	Firmicutes	99	Clostridia	97	Clostridiales	97	Lachnospiraceae	97	Merdimonas	28
Otu101	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	44
Otu144	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Paludicola	80
Otu114	Bacteria	100	Firmicutes	99	Clostridia	95	Clostridiales	95	Clostridiales_Incertae Sedis XIII	61	Ihubacter	54
Otu54	Bacteria	100	Firmicutes	93	Clostridia	91	Clostridiales	91	Lachnospiraceae	90	Marvinbryantia	28
Otu105	Bacteria	100	Firmicutes	61	Clostridia	34	Clostridiales	34	Clostridiales_Incertae Sedis XII	24	Guggenheimella	24
Otu121	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	98	Anaerotignum	98
Otu113	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	30
Otu117	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Faecalimonas	13
Otu135	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Acetatifactor	98
Otu97	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Eisenbergiella	92
Otu76	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Muricomes	12
Otu88	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Muricomes	34
Otu85	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	12
Otu127	Bacteria	100	Firmicutes	98	Erysipelotrichia	96	Erysipelotrichales	96	Erysipelotrichaceae	96	Amedibacillus	49
Otu139	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Muricomes	45
Otu70	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Flintibacter	100
Otu112	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	99	Neglecta	40
Otu183	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	92
Otu106	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Kineothrix	28
Otu166	Bacteria	100	Firmicutes	83	Clostridia	77	Clostridiales	76	Clostridiales_incertae_sedis	33	Marinisporobacter	32
Otu201	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	97	Faecalimonas	36
Otu75	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Paludicola	28
Otu61	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Merdimonas	45
Otu125	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Ruminococcaceae	90	Intestinimonas	70
Otu126	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Anaerotruncus	29
Otu161	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Kineothrix	77
Otu73	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	99	Ruminococcaceae	94	Clostridium IV	53
Otu115	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	98	Butyricicoccus	78
Otu111	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Dorea	36
Otu141	Bacteria	100	Firmicutes	95	Clostridia	89	Clostridiales	88	Clostridiales_incertae_sedis	11	Marinisporobacter	9
Otu128	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	92	Acetitomaculum	18
Otu150	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Syntrophococcus	30
Otu119	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Lachnospiraceae	99	Stomatobaculum	34
Otu167	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Ruminococcus2	11
Otu153	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Lachnospiraceae	99	Falcatimonas	7
Otu69	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Enterobacterales	100	Enterobacteriaceae	100	Escherichia/Shigella	95
Otu142	Bacteria	100	Firmicutes	52	Clostridia	49	Clostridiales	49	Peptostreptococcaceae	14	Wukongibacter	7
Otu205	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	96	Intestinimonas	69
Otu186	Bacteria	100	Firmicutes	85	Clostridia	62	Clostridiales	48	Lachnospiraceae	26	Robinsoniella	6
Otu176	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	91	Sporobacter	37
Otu184	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Clostridiales_Incertae Sedis XIII	83	Ihubacter	76
Otu95	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Dorea	42
Otu116	Bacteria	100	Proteobacteria	40	Gammaproteobacteria	40	Cellvibrionales	26	Cellvibrionaceae	25	Pseudoteredinibacter	17
Otu154	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Acetatifactor	92
Otu96	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Mediterraneibacter	86
Otu148	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	99	Flintibacter	92
Otu202	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	99	Intestinimonas	73
Otu182	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Anaerotruncus	65
Otu218	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Ruminococcaceae	99	Intestinimonas	63
Otu159	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Ruminococcus2	9
Otu197	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	64
Otu181	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Oscillibacter	62
Otu124	Bacteria	100	Firmicutes	88	Erysipelotrichia	34	Erysipelotrichales	34	Erysipelotrichaceae	34	Bulleidia	23
Otu169	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Eisenbergiella	43
Otu140	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Anaerotignum	100
Otu208	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Enterocloster	37
Otu129	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Harryflintia	76
Otu146	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Cuneatibacter	17
Otu133	Bacteria	100	Firmicutes	100	Erysipelotrichia	98	Erysipelotrichales	98	Erysipelotrichaceae	98	Amedibacillus	42
Otu174	Bacteria	100	Firmicutes	97	Clostridia	96	Clostridiales	96	Lachnospiraceae	39	Lactonifactor	14
Otu210	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Clostridiales_Incertae Sedis XIII	98	Ihubacter	86
Otu223	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Lachnospiraceae	98	Anaerosporobacter	26
Otu120	Bacteria	100	Firmicutes	78	Clostridia	75	Clostridiales	74	Ruminococcaceae	52	Lawsonibacter	17
Otu158	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Cuneatibacter	33
Otu221	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	85	Merdimonas	18
Otu143	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Flintibacter	57
Otu151	Bacteria	100	Tenericutes	95	Mollicutes	95	Anaeroplasmatales	94	Anaeroplasmataceae	94	Anaeroplasma	94
Otu209	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Extibacter	33
Otu204	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	98	Paludicola	37
Otu216	Bacteria	100	Firmicutes	98	Clostridia	94	Clostridiales	94	Peptostreptococcaceae	40	Criibacterium	37
