OTU2893	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Yersinia	1;0.714286;0.571429;0.285714;0.285714;0.142857
OTU3026	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	1;1;1;1;1;1
OTU1636	Bacteria;Chloroflexi	1;0.478288
OTU3292	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Lactonifactor;Lactonifactor longoviformis	1;1;1;1;0.403123;0.403123;0.403123
OTU2887	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides paurosaccharolyticus	1;1;1;1;1;1;0.773295
OTU182	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hespellia	1;1;1;1;0.937678;0.442446
OTU3371	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	1;1;1;1;0.983139;0.797253
OTU2323	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	1;1;1;1;1;0.290959;0.290959
OTU2719	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Lactonifactor;Lactonifactor longoviformis	1;1;1;1;0.822869;0.822869;0.822869
OTU706	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus callidus	1;1;1;1;0.881622;0.881608;0.266348
OTU584	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Filifactor	1;1;1;1;0.767539;0.767539
OTU904	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Brassicibacter;Brassicibacter mesophilus	1;0.809286;0.809286;0.809286;0.639755;0.612996;0.612996
OTU2778	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Lactonifactor;Lactonifactor longoviformis	1;1;1;1;0.598185;0.483128;0.483128
OTU3826	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia inulinivorans	1;1;1;1;1;1;0.999878
OTU2738	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;Mariniradius;Mariniradius saccharolyticus	1;0.286885;0.286885;0.286885;0.144202;0.144193;0.144193
OTU1011	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales	1;0.899828;0.899828;0.899828
OTU1566	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	1;1;1;1;1;0.999974
OTU3133	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Lactonifactor;Lactonifactor longoviformis	1;1;1;1;0.61071;0.49865;0.49865
OTU370	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae	1;1;1;1;0.999994
OTU1080	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae	1;0.422842;0.422842;0.422842;0.364708
OTU13	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia	1;1;1;1;0.957872;0.957872
OTU3617	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae	1;1;1;0.571395;0.571395
OTU808	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Slackia;Slackia piriformis	1;1;1;1;1;1;0.607383
OTU1560	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1;0.916873;0.916873;0.916873;0.861429
OTU1460	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1;1;1;1;0.886553
OTU2313	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1;1;1;1;0.899322
OTU3175	Bacteria;Firmicutes;Clostridia;Clostridiales	1;1;1;1
OTU1865	Bacteria;Firmicutes;Clostridia;Clostridiales	1;1;1;1
OTU253	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Gemmiger;Gemmiger formicilis	1;1;1;1;1;0.999891;0.999891
OTU3574	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	1;1;1;1;0.983139;0.797078
OTU2767	Bacteria;Firmicutes;Clostridia;Clostridiales	1;1;1;1
OTU547	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	1;1;1;1;1;0.941983
OTU1630	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae	1;1;1;1;1
OTU2432	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thioalkalicoccus;Thioalkalicoccus limnaeus	1;0.952008;0.935545;0.887142;0.887142;0.887034;0.887034
OTU3297	Bacteria;Lentisphaerae	1;0.32703
OTU368	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	1;1;1;1;1
OTU224	Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales	1;0.452691;0.452691;0.452691
OTU87	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. UB-B.2	1;1;1;1;0.38075;0.38075;0.38075
OTU1058	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum	1;0.651574;0.651574;0.651574;0.450637;0.450637
OTU1351	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconacetobacter	1;1;1;1;1;1
OTU1443	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Propionispora;Propionispora hippei	1;1;1;1;1;0.566491;0.566491
OTU1195	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Yersinia	1;0.428571;0.428571;0.285714;0.285714;0.142857
OTU3224	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio	1;1;1;1;1;0.385444
OTU994	Bacteria	1
OTU92	Bacteria;Proteobacteria;Alphaproteobacteria	1;1;1
OTU537	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	1;1;1;1;1
