LWR	fract	aLWR	afract	taxopath
22.54	0.005747	22.54	0.005747	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;Lachnospira multipara
0	0	1.324	0.0003374	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Stomatobaculum
1.324	0.0003374	1.324	0.0003374	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Stomatobaculum;Stomatobaculum longum
9.62	0.002452	17.64	0.004496	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hespellia
3.419	0.0008714	3.419	0.0008714	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hespellia;Hespellia stercorisuis
4.598	0.001172	4.598	0.001172	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hespellia;Hespellia porcina
0	0	0.7274	0.0001854	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Moryella
0.7274	0.0001854	0.7274	0.0001854	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Moryella;Moryella indoligenes
1.811	0.0004615	3.07	0.0007826	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoanaerobaculum
1.033	0.0002633	1.033	0.0002633	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoanaerobaculum;Lachnoanaerobaculum orale
0.2268	5.782e-05	0.2268	5.782e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoanaerobaculum;Lachnoanaerobaculum saburreum
0	0	4.254	0.001084	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea
4.254	0.001084	4.254	0.001084	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;Dorea formicigenerans
0	0	1.212	0.0003089	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Syntrophococcus
1.212	0.0003089	1.212	0.0003089	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Syntrophococcus;Syntrophococcus sucromutans
0	0	0.37	9.433e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Parasporobacterium
0.37	9.433e-05	0.37	9.433e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Parasporobacterium;Parasporobacterium paucivorans
13.91	0.003545	23.8	0.006067	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes
7.7	0.001963	7.7	0.001963	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes hadrus
2.192	0.0005588	2.192	0.0005588	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;Anaerostipes sp. 1y-2
0	0	6.544	0.001668	Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae
3.582	0.0009131	6.544	0.001668	Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;Vallitalea
0.9144	0.0002331	0.9144	0.0002331	Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;Vallitalea;Vallitalea sp. Ni3
2.048	0.0005221	2.048	0.0005221	Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;Vallitalea;Vallitalea guaymasensis
2.599	0.0006626	31.76	0.008096	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae
2.712	0.0006913	22.04	0.005618	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium
16.98	0.004328	16.98	0.004328	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium coprostanoligenes
0.6573	0.0001676	0.6573	0.0001676	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium acidaminophilum
0.7985	0.0002035	0.7985	0.0002035	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium callanderi
0.07516	1.916e-05	0.07516	1.916e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium limosum
0.1436	3.66e-05	0.1436	3.66e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium pyruvativorans
0.3207	8.175e-05	0.3207	8.175e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium aggregans
0.3548	9.044e-05	0.3548	9.044e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium barkeri
0	0	4.011	0.001022	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Anaerofustis
4.011	0.001022	4.011	0.001022	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Anaerofustis;Anaerofustis stercorihominis
0	0	0.217	5.532e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Alkalibacter
0.217	5.532e-05	0.217	5.532e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Alkalibacter;Alkalibacter saccharofermentans
0	0	0.8306	0.0002117	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Garciella
