	Kingdom	Kingdom confidence	Phylum	Phylum confidence	Class	Class confidence	Order	Order confidence	Family	Family confidence	Genus	Genus confidence
Otu152	Bacteria	100	Firmicutes	61	Clostridia	34	Clostridiales	34	Clostridiales_Incertae Sedis XII	24	Guggenheimella	24.0
Otu90	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	98	Anaerotignum	98.0
Otu60	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Dorea	91.0
Otu107	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	98	Clostridiaceae 4	19	Anaerosolibacter	8.0
Otu37	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Clostridium IV	82.0
Otu181	Bacteria	100	Firmicutes	82	Clostridia	56	Clostridiales	56	Ruminococcaceae	40	Colidextribacter	38.0
Otu244	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Schaedlerella	96.0
Otu271	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Pseudoflavonifractor	43.0
Otu290	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Kineothrix	24.0
Otu185	Bacteria	100	Firmicutes	100	Clostridia	94	Clostridiales	94	Lachnospiraceae	31	Abyssivirga	16.0
Otu155	Bacteria	100	Firmicutes	99	Clostridia	97	Clostridiales	96	Clostridiales_Incertae Sedis XIII	19	Anaerovorax	7.0
Otu54	Bacteria	100	Firmicutes	87	Clostridia	57	Clostridiales	57	Clostridiaceae 3	20	Caldisalinibacter	19.0
Otu269	Bacteria	100	Fusobacteria	100	Fusobacteriia	100	Fusobacteriales	100	Leptotrichiaceae	100	Leptotrichia	99.0
Otu15	Bacteria	100	Proteobacteria	100	Betaproteobacteria	100	Burkholderiales	100	Sutterellaceae	100	Parasutterella	100.0
Otu289	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Mordavella	35.0
Otu211	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Kineothrix	84.0
Otu195	Bacteria	100	Firmicutes	97	Clostridia	97	Clostridiales	97	Ruminococcaceae	80	Sporobacter	46.0
Otu251	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Flintibacter	71.0
Otu169	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	58.0
Otu257	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	99	Muribaculum	46.0
Otu104	Bacteria	100	Firmicutes	72	Clostridia	71	Clostridiales	67	Ruminococcaceae	28	Ercella	11.0
Otu219	Bacteria	100	Firmicutes	100	Bacilli	100	Bacillales	100	Bacillales_Incertae Sedis XI	99	Gemella	99.0
Otu230	Bacteria	100	Firmicutes	100	Clostridia	98	Clostridiales	98	Peptostreptococcaceae	44	Criibacterium	42.0
Otu216	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Bacteroidaceae	100	Bacteroides	100.0
Otu102	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Mediterraneibacter	32.0
Otu220	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Kineothrix	69.0
Otu166	Bacteria	100	Firmicutes	85	Clostridia	68	Clostridiales	68	Clostridiales_Incertae Sedis XII	30	Guggenheimella	30.0
