	Kingdom	Phylum	Class	Order	Family	Genus
Otu1267	Bacteria	Firmicutes	Clostridia			
Otu127	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu1273	Unclassified					
Otu128	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	
Otu1284	Unclassified					
Otu1286	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu129	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Otu1290	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1292	Unclassified					
Otu1295	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu13	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia
Otu130	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014		
Otu1304	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	uncultured
Otu131	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	
Otu1311	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1315	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-008
Otu132	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium
Otu1321	Bacteria	Firmicutes	Clostridia			
Otu1328	Unclassified					
Otu1329	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu133	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	
Otu1336	Bacteria	Firmicutes	Clostridia			
Otu134	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister
Otu1346	Unclassified					
Otu1357	Unclassified					
Otu136	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	
Otu137	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002
Otu138	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriales Incertae Sedis	uncultured
Otu1381	Bacteria	Firmicutes	Bacilli	RF39		
Otu139	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus
Otu1390	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1397	Unclassified					
Otu14	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu140	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014		
Otu1406	Unclassified					
Otu1407	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
Otu141	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus
Otu1415	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu142	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1
Otu1420	Unclassified					
Otu1424	Unclassified					
Otu1429	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Caproiciproducens
Otu143	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter
Otu1439	Unclassified					
Otu1448	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
Otu145	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea
Otu146	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1464	Bacteria	Actinobacteriota	Coriobacteriia	OPB41		
Otu1467	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu147	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014		
Otu1474	Bacteria	Firmicutes				
Otu1476	Unclassified					
Otu148	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
Otu1480	Unclassified					
Otu15	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium
Otu150	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	uncultured
Otu151	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu1515	Unclassified					
Otu152	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Otu1522	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1523	Unclassified					
Otu1524	Unclassified					
Otu1525	Unclassified					
Otu1527	Bacteria	Firmicutes	Clostridia			
Otu153	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005
Otu1534	Unclassified					
Otu1536	Unclassified					
Otu154	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter
Otu1543	Unclassified					
Otu155	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	[Clostridium] innocuum group
Otu1552	Unclassified					
Otu1560	Bacteria	Firmicutes	Clostridia			
Otu157	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	uncultured
Otu1577	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu158	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	uncultured
Otu159	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella
Otu1592	Unclassified					
Otu16	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu160	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
Otu1600	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu1604	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu1607	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu161	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales		
Otu162	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu1621	Unclassified					
Otu1622	Unclassified					
Otu1628	Unclassified					
Otu1629	Unclassified					
Otu163	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum
Otu164	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu165	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio
Otu1653	Unclassified					
Otu1658	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella
Otu1659	Unclassified					
Otu166	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	
Otu1669	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1676	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1678	Unclassified					
Otu169	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	
Otu1690	Bacteria	Firmicutes	Clostridia			
Otu17	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu170	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
Otu1701	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
Otu1705	Unclassified					
Otu171	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1718	Bacteria	Firmicutes	Clostridia			
Otu172	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas
Otu1722	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu1724	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea
Otu1725	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium
Otu1726	Unclassified					
Otu1729	Unclassified					
Otu173	Bacteria	Firmicutes	Bacilli	Lactobacillales		
Otu1734	Unclassified					
Otu1735	Unclassified					
Otu1739	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu174	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus
Otu1746	Unclassified					
Otu1749	Bacteria	Firmicutes	Clostridia			
Otu175	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Otu176	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus
Otu1760	Unclassified					
Otu1769	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu177	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured
Otu178	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu179	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
Otu1797	Unclassified					
Otu18	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu180	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Otu1801	Unclassified					
Otu1808	Unclassified					
Otu181	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014		
Otu1810	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum
Otu182	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella
Otu183	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Intestinibacter
Otu1831	Bacteria	Firmicutes	Clostridia			
Otu1838	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	
Otu184	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu1841	Unclassified					
Otu185	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas
Otu1855	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured
Otu186	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1860	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1861	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia
Otu1863	Unclassified					
Otu1869	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu187	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014		
Otu188	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium
Otu1885	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	
Otu1888	Unclassified					
Otu19	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	
Otu1901	Unclassified					
Otu1902	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1904	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
